,Bubble Time,Insert Time,,Bubble Access Count,Insert Access Count
0,3.81E-06,2.62E-06,0,0,0
10,4.94E-05,2.62E-05,10,108,38
20,0.000169992,4.98E-05,20,518,120
30,0.000374079,0.000155449,30,1134,210
40,0.000694036,0.00025034,40,2144,380
50,0.001078129,0.000363827,50,3550,615
60,0.001549959,0.000530481,60,5064,1002
70,0.0020473,0.000762224,70,6890,1220
80,0.002720594,0.001074791,80,9432,1674
90,0.003446341,0.00108695,90,12544,1993
100,0.004256964,0.001477718,100,14512,2690
110,0.005064249,0.001551151,110,17994,3535
120,0.006181717,0.001916885,120,21242,3873
130,0.007106781,0.00236392,130,24396,4382
140,0.008299589,0.002300739,140,29304,4808
150,0.009463072,0.00316906,150,33436,5721
160,0.011005402,0.003661156,160,37836,6706
170,0.012280703,0.004282236,170,42346,8127
180,0.013537645,0.004461765,180,47134,8667
190,0.015212536,0.005336046,190,54166,9106
200,0.017119646,0.005594492,200,58634,9719
210,0.01866889,0.006484985,210,65848,11007
220,0.021116495,0.006761789,220,71144,12453
230,0.022143126,0.007308245,230,78068,13993
240,0.024367809,0.008019686,240,85316,15200
250,0.02652359,0.008715391,250,94224,16763
260,0.029617786,0.009531498,260,99884,18014
270,0.031796932,0.009941816,270,108256,17747
280,0.033396482,0.010362864,280,115354,20573
290,0.037800074,0.011749983,290,126632,21079
300,0.040152311,0.012466192,300,133088,23176
310,0.043682337,0.012391329,310,143102,23727
320,0.045612812,0.013021946,320,150262,25841
330,0.049567699,0.015492916,330,164804,29197
340,0.053464174,0.01683116,340,169844,29499
350,0.056531429,0.017745018,350,181314,31736
360,0.060503006,0.019532919,360,190100,32488
370,0.064479351,0.021013021,370,202160,34034
380,0.067681789,0.022731066,380,217788,35459
390,0.070388556,0.022538185,390,226900,39914
400,0.076775312,0.02366662,400,238236,40196
410,0.080393553,0.025265932,410,252110,40612
420,0.083795071,0.026281834,420,264422,44223
430,0.090079069,0.027146101,430,280516,44601
440,0.094722033,0.031122208,440,292944,46382
450,0.098451853,0.030839443,450,308960,52754
460,0.103096962,0.032548189,460,316258,51613
470,0.108965158,0.033454657,470,331044,55057
480,0.112700462,0.035829544,480,346786,59796
490,0.11733675,0.038089991,490,356272,59693
500,0.123673439,0.040450811,500,370018,61663
510,0.131329775,0.043550014,510,386576,65113
520,0.133977413,0.043586254,520,399122,67190
530,0.143053055,0.046118975,530,413984,70661
540,0.144430876,0.048916817,540,429770,78212
550,0.153578997,0.049100161,550,450260,79435
560,0.159825325,0.053110123,560,475458,81664
570,0.164680719,0.054778099,570,486662,84892
580,0.170402288,0.052610874,580,494832,86721
590,0.179922342,0.05939436,590,527110,83218
600,0.183147907,0.062440872,600,535466,93286
610,0.191301107,0.065160751,610,554540,94031
620,0.198770761,0.065635204,620,572748,95079
630,0.207480192,0.068331718,630,590284,101465
640,0.208415747,0.070819139,640,611944,106552
650,0.220914841,0.073751688,650,628436,106394
660,0.226446867,0.072453499,660,647616,112872
670,0.233902931,0.081775665,670,672262,107650
680,0.238596916,0.07950592,680,695020,114998
690,0.250966072,0.08169651,690,711806,117778
700,0.25598073,0.082696915,700,725188,120519
710,0.267027855,0.088099003,710,757230,121598
720,0.276442289,0.090763569,720,783894,135708
730,0.279399633,0.088620424,730,804636,129230
740,0.289353371,0.095969439,740,822820,141986
750,0.295090675,0.100221157,750,838264,143746
760,0.304679394,0.101286888,760,857212,144072
770,0.319067001,0.10624671,770,883498,147188
780,0.322366476,0.106923342,780,922134,155489
790,0.333939791,0.116199017,790,932688,153892
800,0.343265533,0.113543749,800,958944,160723
810,0.353880405,0.113272905,810,977250,171675
820,0.35908699,0.11857152,820,996234,169352
830,0.369908571,0.121480942,830,1038372,173032
840,0.381082535,0.122951031,840,1043476,174274
850,0.38485527,0.132777691,850,1065210,178618
860,0.398382664,0.134667635,860,1085634,183329
870,0.406724453,0.137271166,870,1121494,188627
880,0.422409296,0.138326406,880,1165040,192903
890,0.42428112,0.140860319,890,1182202,191743
900,0.444545507,0.145575285,900,1219122,198962
910,0.447638035,0.158114672,910,1222286,207042
920,0.461464405,0.153420925,920,1269362,217402
930,0.463295698,0.153066397,930,1292012,217860
940,0.478333712,0.157830238,940,1320548,221751
950,0.484522104,0.158522606,950,1352876,222221
960,0.491341591,0.168524742,960,1373016,234112
970,0.51298213,0.17054987,970,1403390,240062
980,0.519734621,0.175704241,980,1437404,236645
990,0.528468132,0.173226595,990,1459434,246970
